asset_type,mode,design_return_period,asset_class
storage,port,50,Port
non_engineered_poor,road,0,Road section
rcc_causeway_good,road,50,Road culvert
wooden_culvert_fair,road,20,Road culvert
rcc_box_vented_causeway_bad,road,5,Road culvert
rcc_box_vented_causeway_fair,road,20,Road culvert
bridge,road,100,Road bridge
sgr_track_proposed,rail,100,Rail track
masonry_arch_culvert_bad,road,5,Road culvert
rcc_pipe_culvert_fair,road,20,Road culvert
gravel_bad,road,0,Road section
masonry_arch_culvert_fair,road,20,Road culvert
concrete_good,road,50,Road section
dbst_good,road,50,Road section
mgr_bridge_disused,rail,0,Rail bridge
rcc_causeway_fair,road,20,Road culvert
gravel_fair,road,5,Road section
masonry_arch_culvert_very_poor,road,0,Road culvert
warehouse,port,50,Port
rcc_drift_poor,road,0,Road culvert
concrete_poor,road,0,Road section
stone_pavement_fair,road,20,Road section
steel_pipe_culvert_poor,road,0,Road culvert
rcc_box_vented_causeway_good,road,50,Road culvert
steel_pipe_culvert_fair,road,20,Road culvert
rcc_slab_culvert_bad,road,0,Road culvert
gravel_good,road,10,Road section
rcc_pipe_culvert_poor,road,0,Road culvert
wooden_culvert_very_poor,road,0,Road culvert
non_engineered_bad,road,0,Road section
rcc_slab_culvert_fair,road,20,Road culvert
airport,air,50,Airport
wooden_culvert_poor,road,0,Road culvert
rcc_box_vented_causeway_very_poor,road,0,Road culvert
rcc_drift_very_poor,road,0,Road culvert
rcc_pipe_culvert_bad,road,5,Road culvert
hdpe_pipe_culvert_good,road,50,Road culvert
earthern_good,road,10,Road section
stone_pavement_good,road,20,Road section
rcc_bridge,road,100,Road bridge
rcc_box_vented_causeway_poor,road,0,Road culvert
rcc_slab_culvert_poor,road,0,Road culvert
dbst_fair,road,20,Road section
non_engineered_good,road,10,Road section
other,port,50,Port
hdpe_pipe_culvert_fair,road,20,Road culvert
non_engineered_fair,road,10,Road section
mgr_track_open,rail,20,Rail track
dbst_poor,road,0,Road section
liquid,port,100,Port
general cargo,port,50,Port
sgr_track_construction,rail,100,Rail track
sbst_fair,road,20,Road section
steeltruss_bridge,road,50,Road bridge
asphalt_concrete_good,road,50,Road section
container,port,100,Port
wooden_culvert_good,road,20,Road culvert
earthern_fair,road,10,Road section
pipe_vented_causeway_good,road,50,Road culvert
pipe_vented_causeway_poor,road,0,Road culvert
arch_bridge,road,50,Road bridge
asphalt_concrete_poor,road,0,Road section
steel_pipe_culvert_good,road,50,Road culvert
timber_bridge,road,20,Road bridge
rcc_causeway_poor,road,0,Road culvert
rcc_pipe_culvert_good,road,50,Road culvert
earthern_bad,road,0,Road section
sgr_track_open,rail,100,Rail track
rcc_pipe_culvert_very_poor,road,0,Road culvert
roro,port,50,Port
hdpe_pipe_culvert_poor,road,0,Road culvert
rcc_slab_culvert_very_poor,road,0,Road culvert
gravel_poor,road,0,Road section
masonry_arch_culvert_good,road,50,Road culvert
stone_pavement_bad,road,0,Road section
rcc_causeway_very_poor,road,0,Road culvert
masonry_arch_culvert_poor,road,0,Road culvert
steel_pipe_culvert_very_poor,road,0,Road culvert
rcc_drift_bad,road,5,Road culvert
sbst_poor,road,0,Road section
steel_pipe_culvert_bad,road,5,Road culvert
dbst_bad,road,5,Road section
dry bulk,port,50,Port
asphalt_concrete_bad,road,5,Road section
concrete_fair,road,20,Road section
rcc_drift_good,road,50,Road culvert
mgr_bridge_open,rail,100,Rail bridge
rcc_slab_culvert_good,road,50,Road culvert
earthern_poor,road,0,Road section
mgr_track_disused,rail,0,Rail track
sbst_good,road,20,Road section
sgr_track_planned,rail,100,Rail track
steelcomposite_bridge,road,50,Road bridge
pipe_vented_causeway_fair,road,10,Road culvert
rcc_drift_fair,road,20,Road culvert
refinery,port,100,Port
pipe_vented_causeway_very_poor,road,0,Road culvert
asphalt_concrete_fair,road,20,Road section
