intensity,damage_fraction_max,damage_fraction_min,damage_fraction_mean
0.0,0.0,0.0,0.0
0.05,0.056,0.0224,0.0392
0.1,0.112,0.0448,0.0784
0.15,0.168,0.0672,0.1176
0.2,0.224,0.0896,0.1568
0.25,0.28,0.112,0.196
0.3,0.336,0.1344,0.2352
0.35,0.392,0.1568,0.2744
0.4,0.448,0.1792,0.3136
0.45,0.504,0.2016,0.3528
0.5,0.56,0.224,0.392
0.55,0.59584,0.2464,0.42112
0.6,0.60928,0.2688,0.43904
0.65,0.62272,0.2912,0.45696
0.7,0.63616,0.3136,0.47488
0.75,0.6496,0.336,0.4928
0.8,0.66304,0.3584,0.51072
0.85,0.67648,0.3808,0.52864
0.9,0.68992,0.4032,0.54656
0.95,0.70336,0.4256,0.56448
1.0,0.7168,0.448,0.5824
1.05,0.73024,0.4704,0.60032
1.1,0.74368,0.4928,0.61824
1.15,0.75712,0.5152,0.63616
1.2,0.77056,0.5376,0.65408
1.25,0.784,0.56,0.672
1.3,0.79744,0.5824,0.68992
1.35,0.81088,0.6048,0.70784
1.4,0.82432,0.6272,0.72576
1.45,0.83776,0.6496,0.74368
1.5,0.8512,0.672,0.7616
1.55,0.86464,0.6944,0.77952
1.6,0.87808,0.7168,0.79744
1.65,0.89152,0.7392,0.81536
1.7,0.90496,0.7616,0.83328
1.75,0.9184,0.784,0.8512
1.8,0.93184,0.8064,0.86912
1.85,0.94528,0.8288,0.88704
1.9,0.95872,0.8512,0.90496
1.95,0.97216,0.8736,0.92288
2.0,0.9856,0.896,0.9408
2.05,0.99904,0.9016,0.95088
2.1,1.0,0.9072,0.95648
2.15,1.0,0.9128,0.96096
2.2,1.0,0.9184,0.96544
2.25,1.0,0.924,0.96992
2.3,1.0,0.9296,0.97552
2.35,1.0,0.9352,0.98
2.4,1.0,0.9408,0.98448
2.45,1.0,0.9464,0.98896
2.5,1.0,0.952,0.99456
2.55,1.0,0.9576,0.99904
2.6,1.0,0.9632,1.0
2.65,1.0,0.9688,1.0
2.7,1.0,0.9744,1.0
2.75,1.0,0.98,1.0
2.8,1.0,0.9856,1.0
2.85,1.0,0.9912,1.0
2.9,1.0,0.9968,1.0
2.95,1.0,1.0,1.0
3.0,1.0,1.0,1.0
3.05,1.0,1.0,1.0
3.1,1.0,1.0,1.0
3.15,1.0,1.0,1.0
3.2,1.0,1.0,1.0
3.25,1.0,1.0,1.0
3.3,1.0,1.0,1.0
3.35,1.0,1.0,1.0
3.4,1.0,1.0,1.0
3.45,1.0,1.0,1.0
3.5,1.0,1.0,1.0
3.55,1.0,1.0,1.0
3.6,1.0,1.0,1.0
3.65,1.0,1.0,1.0
3.7,1.0,1.0,1.0
3.75,1.0,1.0,1.0
3.8,1.0,1.0,1.0
3.85,1.0,1.0,1.0
3.9,1.0,1.0,1.0
3.95,1.0,1.0,1.0
4.0,1.0,1.0,1.0
4.05,1.0,1.0,1.0
4.1,1.0,1.0,1.0
4.15,1.0,1.0,1.0
4.2,1.0,1.0,1.0
4.25,1.0,1.0,1.0
4.3,1.0,1.0,1.0
4.35,1.0,1.0,1.0
4.4,1.0,1.0,1.0
4.45,1.0,1.0,1.0
4.5,1.0,1.0,1.0
4.55,1.0,1.0,1.0
4.6,1.0,1.0,1.0
4.65,1.0,1.0,1.0
4.7,1.0,1.0,1.0
4.75,1.0,1.0,1.0
4.8,1.0,1.0,1.0
4.85,1.0,1.0,1.0
4.9,1.0,1.0,1.0
4.95,1.0,1.0,1.0
5.0,1.0,1.0,1.0
