intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0504,0.04536,0.05544
0.5,0.1008,0.09072,0.11088
0.75,0.1512,0.13608,0.16632
1.0,0.2016,0.18144,0.22176
1.25,0.2128,0.19152,0.23408
1.5,0.224,0.2016,0.2464
1.75,0.2296,0.20664,0.25256
2.0,0.2352,0.21168,0.25872
2.25,0.2688,0.24192,0.29568
2.5,0.3024,0.27216,0.33264
2.75,0.336,0.3024,0.3696
3.0,0.3696,0.33264,0.40656
3.25,0.3696,0.33264,0.40656
3.5,0.3696,0.33264,0.40656
3.75,0.3696,0.33264,0.40656
4.0,0.3696,0.33264,0.40656
4.25,0.4032,0.36288,0.44352
4.5,0.4368,0.39312,0.48048
4.75,0.4704,0.42336,0.51744
5.0,0.504,0.4536,0.5544
5.25,0.504,0.4536,0.5544
5.5,0.504,0.4536,0.5544
5.75,0.504,0.4536,0.5544
6.0,0.504,0.4536,0.5544
6.5,0.504,0.4536,0.5544
7.0,0.504,0.4536,0.5544
7.5,0.504,0.4536,0.5544
8.0,0.504,0.4536,0.5544
8.5,0.504,0.4536,0.5544
9.0,0.504,0.4536,0.5544
9.5,0.504,0.4536,0.5544
10.0,0.504,0.4536,0.5544
