intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0355,0.03195,0.03905
0.5,0.071,0.0639,0.0781
0.75,0.1065,0.09585,0.11715
1.0,0.142,0.1278,0.1562
1.25,0.15975,0.143775,0.175725
1.5,0.1775,0.15975,0.19525
1.75,0.19525,0.175725,0.214775
2.0,0.213,0.1917,0.2343
2.25,0.26625,0.239625,0.292875
2.5,0.3195,0.28755,0.35145
2.75,0.3727499999999999,0.3354749999999999,0.410025
3.0,0.426,0.3834,0.4686
3.5,0.781,0.7029000000000001,0.8591000000000001
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
