intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.028,0.0252,0.0308
0.5,0.056,0.0504,0.0616
0.75,0.084,0.0756,0.0924
1.0,0.112,0.1008,0.1232
1.25,0.126,0.1134,0.1386
1.5,0.14,0.126,0.154
1.75,0.154,0.1386,0.1694
2.0,0.168,0.1512,0.1848
2.25,0.21,0.189,0.231
2.5,0.252,0.2268,0.2772000000000001
2.75,0.294,0.2646,0.3234000000000001
3.0,0.336,0.3024,0.3696
3.5,0.6160000000000001,0.5544000000000001,0.6776000000000002
4.0,0.8960000000000001,0.8064000000000001,0.9856000000000004
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
