intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.5,0.3294,0.29646,0.36234
0.75,0.427,0.3843,0.4697
1.0,0.5002,0.4501799999999999,0.55022
1.25,0.5856,0.5270400000000001,0.6441600000000001
1.5,0.671,0.6039000000000001,0.7381000000000001
1.75,0.7198,0.6478200000000001,0.79178
2.0,0.7808,0.70272,0.8588800000000001
2.25,0.854,0.7686,0.9394
2.5,0.915,0.8235,1.0
2.75,0.9394,0.84546,1.0
3.0,0.976,0.8784,1.0
3.5,1.0,0.9,1.0
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
