intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.5,0.3834,0.34506,0.42174
0.75,0.4969999999999999,0.4473,0.5467
1.0,0.5821999999999999,0.52398,0.64042
1.25,0.6816,0.61344,0.7497600000000001
1.5,0.781,0.7029000000000001,0.8591000000000001
1.75,0.8377999999999999,0.7540199999999999,0.92158
2.0,0.9088,0.81792,0.99968
2.25,0.994,0.8946,1.0
2.5,1.0,0.9,1.0
2.75,1.0,0.9,1.0
3.0,1.0,0.9,1.0
3.5,1.0,0.9,1.0
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
