intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.1464,0.13176,0.16104
0.5,0.2806,0.25254,0.30866
0.75,0.3782,0.34038,0.41602
1.0,0.488,0.4392,0.5368
1.25,0.5978,0.53802,0.65758
1.5,0.7075999999999999,0.63684,0.7783599999999999
1.75,0.7686,0.69174,0.84546
2.0,0.8296,0.74664,0.91256
2.25,0.8662,0.7795799999999999,0.95282
2.5,0.9028,0.8125199999999999,0.99308
2.75,0.9394,0.84546,1.0
3.0,0.976,0.8784,1.0
3.5,1.0,0.9,1.0
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
