intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0532,0.04788,0.05852
0.5,0.1064,0.09576,0.11704
0.75,0.1484,0.13356,0.16324
1.0,0.1904,0.17136,0.20944
1.25,0.196,0.1764,0.2156
1.5,0.2016,0.18144,0.22176
1.75,0.2072,0.18648,0.22792
2.0,0.2128,0.19152,0.23408
2.25,0.2156,0.19404,0.23716
2.5,0.2184,0.19656,0.24024
2.75,0.2212,0.19908,0.24332
3.0,0.224,0.2016,0.2464
3.25,0.2268,0.20412,0.24948
3.5,0.2296,0.20664,0.25256
3.75,0.2324,0.20916,0.25564
4.0,0.2352,0.21168,0.25872
4.25,0.2352,0.21168,0.25872
4.5,0.2352,0.21168,0.25872
4.75,0.2352,0.21168,0.25872
5.0,0.2352,0.21168,0.25872
5.25,0.2352,0.21168,0.25872
5.5,0.2352,0.21168,0.25872
5.75,0.2352,0.21168,0.25872
6.0,0.2352,0.21168,0.25872
6.5,0.2352,0.21168,0.25872
7.0,0.2352,0.21168,0.25872
7.5,0.2352,0.21168,0.25872
8.0,0.2352,0.21168,0.25872
8.5,0.2352,0.21168,0.25872
9.0,0.2352,0.21168,0.25872
9.5,0.2352,0.21168,0.25872
10.0,0.2352,0.21168,0.25872
