intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.05,0.032,0.028611855,0.034970044
0.1,0.064,0.057223709,0.069940089
0.15,0.095,0.085835564,0.104910133
0.2,0.127,0.114447418,0.139880178
0.25,0.159,0.143059273,0.174850222
0.3,0.191,0.171671128,0.209820267
0.35,0.223,0.200282982,0.244790311
0.4,0.254,0.228894837,0.279760356
0.45,0.286,0.257506691,0.3147304
0.5,0.318,0.286118546,0.349700445
0.55,0.336,0.302533885,0.369763637
0.6,0.354,0.318949223,0.389826828
0.65,0.373,0.335364562,0.40989002
0.7,0.391,0.351779901,0.429953212
0.75,0.409,0.368195239,0.450016404
0.8,0.427,0.384610578,0.470079596
0.85,0.446,0.401025917,0.490142787
0.9,0.464,0.417441256,0.510205979
0.95,0.482,0.433856594,0.530269171
1.0,0.5,0.450271933,0.550332363
1.05,0.541,0.486867459,0.595060227
1.1,0.582,0.523462984,0.639788092
1.15,0.622,0.56005851,0.684515956
1.2,0.663,0.596654035,0.729243821
1.25,0.704,0.633249561,0.773971685
1.3,0.744,0.669845086,0.81869955
1.35,0.785,0.706440612,0.863427414
1.4,0.826,0.743036137,0.908155279
1.45,0.866,0.779631663,0.952883143
1.5,0.907,0.816227188,0.997611008
1.55,0.926,0.833410135,1.0
1.6,0.945,0.850593081,1.0
1.65,0.964,0.867776028,1.0
1.7,0.983,0.884958975,1.0
1.75,1.0,0.902141921,1.0
1.8,1.0,0.919324868,1.0
1.85,1.0,0.936507815,1.0
1.9,1.0,0.953690761,1.0
1.95,1.0,0.970873708,1.0
2.0,1.0,0.988056655,1.0
2.05,1.0,0.989053822,1.0
2.1,1.0,0.990050989,1.0
2.15,1.0,0.991048156,1.0
2.2,1.0,0.992045324,1.0
2.25,1.0,0.993042491,1.0
2.3,1.0,0.994039658,1.0
2.35,1.0,0.995036826,1.0
2.4,1.0,0.996033993,1.0
2.45,1.0,0.99703116,1.0
2.5,1.0,0.998028327,1.0
2.55,1.0,0.999025495,1.0
2.6,1.0,1.0,1.0
2.65,1.0,1.0,1.0
2.7,1.0,1.0,1.0
2.75,1.0,1.0,1.0
2.8,1.0,1.0,1.0
2.85,1.0,1.0,1.0
2.9,1.0,1.0,1.0
2.95,1.0,1.0,1.0
3.0,1.0,1.0,1.0
3.05,1.0,1.0,1.0
3.1,1.0,1.0,1.0
3.15,1.0,1.0,1.0
3.2,1.0,1.0,1.0
3.25,1.0,1.0,1.0
3.3,1.0,1.0,1.0
3.35,1.0,1.0,1.0
3.4,1.0,1.0,1.0
3.45,1.0,1.0,1.0
3.5,1.0,1.0,1.0
3.55,1.0,1.0,1.0
3.6,1.0,1.0,1.0
3.65,1.0,1.0,1.0
3.7,1.0,1.0,1.0
3.75,1.0,1.0,1.0
3.8,1.0,1.0,1.0
3.85,1.0,1.0,1.0
3.9,1.0,1.0,1.0
3.95,1.0,1.0,1.0
4.0,1.0,1.0,1.0
4.05,1.0,1.0,1.0
4.1,1.0,1.0,1.0
4.15,1.0,1.0,1.0
4.2,1.0,1.0,1.0
4.25,1.0,1.0,1.0
4.3,1.0,1.0,1.0
4.35,1.0,1.0,1.0
4.4,1.0,1.0,1.0
4.45,1.0,1.0,1.0
4.5,1.0,1.0,1.0
4.55,1.0,1.0,1.0
4.6,1.0,1.0,1.0
4.65,1.0,1.0,1.0
4.7,1.0,1.0,1.0
4.75,1.0,1.0,1.0
4.8,1.0,1.0,1.0
4.85,1.0,1.0,1.0
4.9,1.0,1.0,1.0
4.95,1.0,1.0,1.0
5.0,1.0,1.0,1.0
5.05,1.0,1.0,1.0
5.1,1.0,1.0,1.0
5.15,1.0,1.0,1.0
5.2,1.0,1.0,1.0
5.25,1.0,1.0,1.0
5.3,1.0,1.0,1.0
5.35,1.0,1.0,1.0
5.4,1.0,1.0,1.0
5.45,1.0,1.0,1.0
5.5,1.0,1.0,1.0
5.55,1.0,1.0,1.0
5.6,1.0,1.0,1.0
5.65,1.0,1.0,1.0
5.7,1.0,1.0,1.0
5.75,1.0,1.0,1.0
5.8,1.0,1.0,1.0
5.85,1.0,1.0,1.0
5.9,1.0,1.0,1.0
5.95,1.0,1.0,1.0
6.0,1.0,1.0,1.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
