intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.5,0.3024,0.27216,0.3326400000000001
0.75,0.392,0.3528,0.4312
1.0,0.4592,0.41328,0.50512
1.25,0.5376000000000001,0.4838400000000001,0.5913600000000001
1.5,0.6160000000000001,0.5544000000000001,0.6776000000000002
1.75,0.6608,0.59472,0.7268800000000001
2.0,0.7168000000000001,0.6451200000000001,0.7884800000000002
2.25,0.784,0.7056,0.8624
2.5,0.8400000000000001,0.7560000000000001,0.9240000000000002
2.75,0.8624,0.7761600000000001,0.94864
3.0,0.8960000000000001,0.8064000000000001,0.9856000000000004
3.5,0.952,0.8568000000000001,1.0
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
