intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.084,0.0756,0.0924
0.5,0.168,0.1512,0.1848
0.75,0.252,0.2268,0.2772
1.0,0.336,0.3024,0.3696
1.25,0.364,0.3276,0.4004
1.5,0.392,0.3528,0.4312
1.75,0.4088,0.36792,0.44968
2.0,0.4256,0.38304,0.46816
2.25,0.4732,0.42588,0.52052
2.5,0.5208,0.46872,0.57288
2.75,0.5684,0.51156,0.62524
3.0,0.616,0.5544,0.6776
3.25,0.6216,0.55944,0.68376
3.5,0.6272,0.56448,0.68992
3.75,0.6328,0.56952,0.69608
4.0,0.6384,0.57456,0.70224
4.25,0.6804,0.61236,0.74844
4.5,0.7224,0.65016,0.79464
4.75,0.7644,0.68796,0.84084
5.0,0.8064,0.72576,0.88704
5.25,0.812,0.7308,0.8932
5.5,0.8176,0.73584,0.89936
5.75,0.8232,0.74088,0.90552
6.0,0.8288,0.74592,0.91168
6.5,0.8288,0.74592,0.91168
7.0,0.8288,0.74592,0.91168
7.5,0.8288,0.74592,0.91168
8.0,0.8288,0.74592,0.91168
8.5,0.8288,0.74592,0.91168
9.0,0.8288,0.74592,0.91168
9.5,0.8288,0.74592,0.91168
10.0,0.8288,0.74592,0.91168
