intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0555,0.04995,0.06105
0.5,0.111,0.0999,0.1221
0.75,0.1665,0.14985,0.18315
1.0,0.222,0.1998,0.2442
1.25,0.24975,0.224775,0.274725
1.5,0.2775,0.24975,0.3052500000000001
1.75,0.3052500000000001,0.274725,0.3357750000000001
2.0,0.333,0.2997,0.3663
2.25,0.41625,0.374625,0.457875
2.5,0.4995,0.44955,0.5494500000000001
2.75,0.5827500000000001,0.5244750000000001,0.6410250000000002
3.0,0.666,0.5994,0.7326000000000001
3.5,1.0,0.9,1.0
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
