intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.35,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.1,0.0,0.0,0.0
1.15,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.3,0.0,0.0,0.0
1.35,0.0,0.0,0.0
1.4,0.0,0.0,0.0
1.45,0.0,0.0,0.0
1.5,0.0,0.0,0.0
1.55,0.01568,0.014112,0.017248
1.6,0.03136,0.028224,0.034496
1.65,0.04704,0.042336,0.051744
1.7,0.06272,0.056448,0.068992
1.75,0.0784,0.07056,0.08624
1.8,0.09408,0.084672,0.103488
1.85,0.10976,0.098784,0.120736
1.9,0.12544,0.112896,0.137984
1.95,0.14112,0.127008,0.155232
2.0,0.1568,0.14112,0.17248
2.05,0.17248,0.155232,0.189728
2.1,0.18816,0.169344,0.206976
2.15,0.20384,0.183456,0.224224
2.2,0.21952,0.197568,0.241472
2.25,0.2352,0.21168,0.25872
2.3,0.25088,0.225792,0.275968
2.35,0.26656,0.239904,0.293216
2.4,0.28224,0.254016,0.310464
2.45,0.29792,0.268128,0.327712
2.5,0.3136,0.28224,0.34496
2.55,0.32368,0.291312,0.356048
2.6,0.33376,0.300384,0.367136
2.65,0.34384,0.309456,0.378224
2.7,0.35392,0.318528,0.389312
2.75,0.364,0.3276,0.4004
2.8,0.37408,0.336672,0.411488
2.85,0.38416,0.345744,0.422576
2.9,0.39424,0.354816,0.433664
2.95,0.40432,0.363888,0.444752
3.0,0.4144,0.37296,0.45584
3.05,0.42448,0.382032,0.466928
3.1,0.43456,0.391104,0.478016
3.15,0.44464,0.400176,0.489104
3.2,0.45472,0.409248,0.500192
3.25,0.4648,0.41832,0.51128
3.3,0.47488,0.427392,0.522368
3.35,0.48496,0.436464,0.533456
3.4,0.49504,0.445536,0.544544
3.45,0.50512,0.454608,0.555632
3.5,0.5152,0.46368,0.56672
3.55,0.52528,0.472752,0.577808
3.6,0.53536,0.481824,0.588896
3.65,0.54544,0.490896,0.599984
3.7,0.55552,0.499968,0.611072
3.75,0.5656,0.50904,0.62216
3.8,0.57568,0.518112,0.633248
3.85,0.58576,0.527184,0.644336
3.9,0.59584,0.536256,0.655424
3.95,0.60592,0.545328,0.666512
4.0,0.616,0.5544,0.6776
4.05,0.62608,0.563472,0.688688
4.1,0.63616,0.572544,0.699776
4.15,0.64624,0.581616,0.710864
4.2,0.65632,0.590688,0.721952
4.25,0.6664,0.59976,0.73304
4.3,0.67648,0.608832,0.744128
4.35,0.68656,0.617904,0.755216
4.4,0.69664,0.626976,0.766304
4.45,0.70672,0.636048,0.777392
4.5,0.7168,0.64512,0.78848
4.55,0.72688,0.654192,0.799568
4.6,0.73696,0.663264,0.810656
4.65,0.74704,0.672336,0.821744
4.7,0.75712,0.681408,0.832832
4.75,0.7672,0.69048,0.84392
4.8,0.77728,0.699552,0.855008
4.85,0.78736,0.708624,0.866096
4.9,0.79744,0.717696,0.877184
4.95,0.80752,0.726768,0.888272
5.0,0.8176,0.73584,0.89936
5.05,0.82768,0.744912,0.910448
5.1,0.83776,0.753984,0.921536
5.15,0.84784,0.763056,0.932624
5.2,0.85792,0.772128,0.943712
5.25,0.868,0.7812,0.9548
5.3,0.87808,0.790272,0.965888
5.35,0.88816,0.799344,0.976976
5.4,0.89824,0.808416,0.988064
5.45,0.90832,0.817488,0.999152
5.5,0.9184,0.82656,1.0
5.55,0.92848,0.835632,1.0
5.6,0.93856,0.844704,1.0
5.65,0.94864,0.853776,1.0
5.7,0.95872,0.862848,1.0
5.75,0.9688,0.87192,1.0
5.8,0.97888,0.880992,1.0
5.85,0.98896,0.890064,1.0
5.9,0.99904,0.899136,1.0
5.95,1.0,0.908208,1.0
6.0,1.0,0.91728,1.0
6.05,1.0,0.926352,1.0
6.1,1.0,0.935424,1.0
6.15,1.0,0.944496,1.0
6.2,1.0,0.953568,1.0
6.25,1.0,0.96264,1.0
6.3,1.0,0.971712,1.0
6.35,1.0,0.980784,1.0
6.4,1.0,0.989856,1.0
6.45,1.0,0.998928,1.0
6.5,1.0,1.0,1.0
