intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.038,0.0342,0.0418
0.5,0.076,0.0684,0.0836
0.75,0.1139999999999999,0.1026,0.1254
1.0,0.152,0.1368,0.1672
1.25,0.171,0.1539,0.1881
1.5,0.19,0.171,0.209
1.75,0.209,0.1881,0.2299
2.0,0.2279999999999999,0.2052,0.2508
2.25,0.285,0.2565,0.3135
2.5,0.342,0.3078,0.3762
2.75,0.399,0.3591,0.4389
3.0,0.4559999999999999,0.4104,0.5016
3.5,0.8360000000000001,0.7524000000000001,0.9196000000000002
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
