intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.033,0.0297,0.0363
0.5,0.066,0.0594,0.0726
0.75,0.099,0.0891,0.1089
1.0,0.132,0.1188,0.1452
1.25,0.1485,0.13365,0.16335
1.5,0.165,0.1485,0.1815
1.75,0.1815,0.16335,0.19965
2.0,0.198,0.1782,0.2178
2.25,0.2475,0.22275,0.27225
2.5,0.297,0.2673,0.3267
2.75,0.3465,0.31185,0.38115
3.0,0.396,0.3564,0.4356
3.5,0.7260000000000001,0.6534000000000001,0.7986000000000002
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
