intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0305,0.02745,0.03355
0.5,0.061,0.0549,0.0671
0.75,0.0915,0.08235,0.10065
1.0,0.122,0.1098,0.1342
1.25,0.13725,0.123525,0.150975
1.5,0.1525,0.13725,0.16775
1.75,0.16775,0.150975,0.184525
2.0,0.183,0.1647,0.2013
2.25,0.22875,0.205875,0.251625
2.5,0.2745,0.24705,0.30195
2.75,0.32025,0.288225,0.352275
3.0,0.366,0.3294,0.4026
3.5,0.671,0.6039000000000001,0.7381000000000001
4.0,0.976,0.8784,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
