intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.1344,0.12096,0.14784
0.5,0.2576,0.23184,0.28336
0.75,0.3472,0.31248,0.38192
1.0,0.448,0.4032,0.4928000000000001
1.25,0.5488000000000001,0.4939200000000001,0.6036800000000001
1.5,0.6496000000000001,0.58464,0.7145600000000001
1.75,0.7056000000000001,0.6350400000000002,0.7761600000000002
2.0,0.7616000000000002,0.6854400000000002,0.8377600000000003
2.25,0.7952,0.71568,0.87472
2.5,0.8288000000000001,0.7459200000000001,0.9116800000000002
2.75,0.8624,0.7761600000000001,0.94864
3.0,0.8960000000000001,0.8064000000000001,0.9856000000000004
3.5,0.9464,0.8517600000000001,1.0
4.0,0.9968,0.8971200000000001,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
