intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0325,0.02925,0.03575
0.5,0.065,0.0585,0.0715
0.75,0.0975,0.08775,0.10725
1.0,0.13,0.117,0.143
1.25,0.14625,0.131625,0.160875
1.5,0.1625,0.14625,0.17875
1.75,0.17875,0.160875,0.196625
2.0,0.195,0.1755,0.2145
2.25,0.24375,0.219375,0.268125
2.5,0.2925,0.26325,0.3217500000000001
2.75,0.34125,0.307125,0.375375
3.0,0.39,0.351,0.429
3.5,0.7150000000000001,0.6435000000000001,0.7865000000000002
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
