intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.5,0.27,0.243,0.297
0.75,0.35,0.315,0.385
1.0,0.41,0.369,0.451
1.25,0.48,0.432,0.528
1.5,0.55,0.495,0.6050000000000001
1.75,0.59,0.531,0.649
2.0,0.64,0.5760000000000001,0.7040000000000001
2.25,0.7,0.63,0.77
2.5,0.75,0.675,0.8250000000000001
2.75,0.77,0.6930000000000001,0.8470000000000001
3.0,0.8,0.7200000000000001,0.8800000000000001
3.5,0.85,0.765,0.935
4.0,0.9,0.81,0.99
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
