intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.5,0.351,0.3159,0.3861
0.75,0.4549999999999999,0.4095,0.5005
1.0,0.533,0.4797,0.5863
1.25,0.624,0.5616,0.6864
1.5,0.7150000000000001,0.6435000000000001,0.7865000000000002
1.75,0.767,0.6903,0.8437000000000001
2.0,0.8320000000000001,0.7488000000000001,0.9152
2.25,0.91,0.819,1.0
2.5,0.975,0.8775000000000001,1.0
2.75,1.0,0.9,1.0
3.0,1.0,0.9,1.0
3.5,1.0,0.9,1.0
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
