intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.5,0.297,0.2673,0.3267
0.75,0.385,0.3465,0.4235
1.0,0.451,0.4059,0.4961
1.25,0.528,0.4752,0.5808000000000001
1.5,0.6050000000000001,0.5445000000000001,0.6655000000000002
1.75,0.649,0.5841000000000001,0.7139000000000001
2.0,0.7040000000000001,0.6336,0.7744000000000001
2.25,0.77,0.6930000000000001,0.8470000000000001
2.5,0.8250000000000001,0.7425,0.9075000000000002
2.75,0.8470000000000001,0.7623000000000001,0.9317000000000002
3.0,0.8800000000000001,0.7920000000000001,0.9680000000000002
3.5,0.935,0.8415,1.0
4.0,0.99,0.8910000000000001,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
