intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.075,0.0675,0.0825
0.5,0.15,0.135,0.165
0.75,0.225,0.2025,0.2475
1.0,0.3,0.27,0.33
1.25,0.325,0.2925,0.3575
1.5,0.35,0.315,0.385
1.75,0.365,0.3285,0.4015
2.0,0.38,0.342,0.418
2.25,0.4225,0.38025,0.46475
2.5,0.465,0.4185,0.5115
2.75,0.5075,0.45675,0.55825
3.0,0.55,0.495,0.605
3.25,0.555,0.4995,0.6105
3.5,0.56,0.504,0.616
3.75,0.565,0.5085,0.6215
4.0,0.57,0.513,0.627
4.25,0.6075,0.54675,0.66825
4.5,0.645,0.5805,0.7095
4.75,0.6825,0.61425,0.75075
5.0,0.72,0.648,0.792
5.25,0.725,0.6525,0.7975
5.5,0.73,0.657,0.803
5.75,0.735,0.6615,0.8085
6.0,0.74,0.666,0.814
6.5,0.74,0.666,0.814
7.0,0.74,0.666,0.814
7.5,0.74,0.666,0.814
8.0,0.74,0.666,0.814
8.5,0.74,0.666,0.814
9.0,0.74,0.666,0.814
9.5,0.74,0.666,0.814
10.0,0.74,0.666,0.814
