intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.132,0.1188,0.1452
0.5,0.253,0.2277,0.2783000000000001
0.75,0.341,0.3069,0.3751
1.0,0.44,0.3960000000000001,0.4840000000000001
1.25,0.539,0.4851,0.5929000000000001
1.5,0.638,0.5742,0.7018000000000001
1.75,0.6930000000000001,0.6237,0.7623000000000001
2.0,0.7480000000000001,0.6732000000000001,0.8228000000000002
2.25,0.781,0.7029000000000001,0.8591000000000001
2.5,0.8140000000000001,0.7326,0.8954000000000001
2.75,0.8470000000000001,0.7623000000000001,0.9317000000000002
3.0,0.8800000000000001,0.7920000000000001,0.9680000000000002
3.5,0.9295,0.83655,1.0
4.0,0.979,0.8811000000000001,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
