intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.12,0.108,0.132
0.5,0.23,0.207,0.253
0.75,0.31,0.279,0.341
1.0,0.4,0.36,0.44
1.25,0.49,0.441,0.539
1.5,0.58,0.522,0.638
1.75,0.63,0.5670000000000001,0.6930000000000001
2.0,0.68,0.6120000000000001,0.7480000000000001
2.25,0.71,0.639,0.781
2.5,0.74,0.666,0.8140000000000001
2.75,0.77,0.6930000000000001,0.8470000000000001
3.0,0.8,0.7200000000000001,0.8800000000000001
3.5,0.845,0.7605,0.9295
4.0,0.89,0.801,0.979
5.0,0.98,0.882,1.0
6.0,1.0,0.9,1.0
