intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0349999999999999,0.0315,0.0385
0.5,0.0699999999999999,0.063,0.077
0.75,0.105,0.0945,0.1155
1.0,0.1399999999999999,0.126,0.154
1.25,0.1575,0.14175,0.17325
1.5,0.175,0.1575,0.1925
1.75,0.1925,0.17325,0.21175
2.0,0.21,0.189,0.231
2.25,0.2624999999999999,0.2362499999999999,0.2887499999999999
2.5,0.315,0.2835,0.3465
2.75,0.3675,0.33075,0.40425
3.0,0.42,0.378,0.462
3.5,0.77,0.6930000000000001,0.8470000000000001
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
