intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0525,0.04725,0.05775
0.5,0.105,0.0945,0.1155
0.75,0.1575,0.14175,0.17325
1.0,0.21,0.189,0.231
1.25,0.23625,0.212625,0.259875
1.5,0.2625,0.23625,0.28875
1.75,0.28875,0.2598750000000001,0.3176250000000001
2.0,0.315,0.2835,0.3465
2.25,0.39375,0.354375,0.4331250000000001
2.5,0.4725,0.42525,0.51975
2.75,0.55125,0.496125,0.6063750000000001
3.0,0.63,0.5670000000000001,0.6930000000000001
3.5,1.0,0.9,1.0
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
