intensity,damage_fraction_max,damage_fraction_min,damage_fraction_mean
0.0,0.0,0.0,0.0
0.05,0.05,0.02,0.035
0.1,0.1,0.04,0.07
0.15,0.15,0.06,0.105
0.2,0.2,0.08,0.14
0.25,0.25,0.1,0.175
0.3,0.3,0.12,0.21
0.35,0.35,0.14,0.245
0.4,0.4,0.16,0.28
0.45,0.45,0.18,0.315
0.5,0.5,0.2,0.35
0.55,0.532,0.22,0.376
0.6,0.544,0.24,0.392
0.65,0.556,0.26,0.408
0.7,0.568,0.28,0.424
0.75,0.58,0.3,0.44
0.8,0.592,0.32,0.456
0.85,0.604,0.34,0.472
0.9,0.616,0.36,0.488
0.95,0.628,0.38,0.504
1.0,0.64,0.4,0.52
1.05,0.652,0.42,0.536
1.1,0.664,0.44,0.552
1.15,0.676,0.46,0.568
1.2,0.688,0.48,0.584
1.25,0.7,0.5,0.6
1.3,0.712,0.52,0.616
1.35,0.724,0.54,0.632
1.4,0.736,0.56,0.648
1.45,0.748,0.58,0.664
1.5,0.76,0.6,0.68
1.55,0.772,0.62,0.696
1.6,0.784,0.64,0.712
1.65,0.796,0.66,0.728
1.7,0.808,0.68,0.744
1.75,0.82,0.7,0.76
1.8,0.832,0.72,0.776
1.85,0.844,0.74,0.792
1.9,0.856,0.76,0.808
1.95,0.868,0.78,0.824
2.0,0.88,0.8,0.84
2.05,0.892,0.805,0.849
2.1,0.897,0.81,0.854
2.15,0.901,0.815,0.858
2.2,0.904,0.82,0.862
2.25,0.908,0.825,0.866
2.3,0.911,0.83,0.871
2.35,0.915,0.835,0.875
2.4,0.918,0.84,0.879
2.45,0.922,0.845,0.883
2.5,0.925,0.85,0.888
2.55,0.929,0.855,0.892
2.6,0.932,0.86,0.896
2.65,0.936,0.865,0.9
2.7,0.939,0.87,0.905
2.75,0.943,0.875,0.909
2.8,0.946,0.88,0.913
2.85,0.95,0.885,0.917
2.9,0.953,0.89,0.922
2.95,0.957,0.895,0.926
3.0,0.96,0.9,0.93
3.05,0.964,0.905,0.934
3.1,0.967,0.91,0.939
3.15,0.971,0.915,0.943
3.2,0.974,0.92,0.947
3.25,0.978,0.925,0.951
3.3,0.981,0.93,0.956
3.35,0.985,0.935,0.96
3.4,0.988,0.94,0.964
3.45,0.992,0.945,0.968
3.5,0.995,0.95,0.973
3.55,0.999,0.955,0.977
3.6,1.0,0.96,0.98
3.65,1.0,0.965,0.983
3.7,1.0,0.97,0.985
3.75,1.0,0.975,0.988
3.8,1.0,0.98,0.99
3.85,1.0,0.985,0.993
3.9,1.0,0.99,0.995
3.95,1.0,0.995,0.998
4.0,1.0,1.0,1.0
4.05,1.0,1.0,1.0
4.1,1.0,1.0,1.0
4.15,1.0,1.0,1.0
4.2,1.0,1.0,1.0
4.25,1.0,1.0,1.0
4.3,1.0,1.0,1.0
4.35,1.0,1.0,1.0
4.4,1.0,1.0,1.0
4.45,1.0,1.0,1.0
4.5,1.0,1.0,1.0
4.55,1.0,1.0,1.0
4.6,1.0,1.0,1.0
4.65,1.0,1.0,1.0
4.7,1.0,1.0,1.0
4.75,1.0,1.0,1.0
4.8,1.0,1.0,1.0
4.85,1.0,1.0,1.0
4.9,1.0,1.0,1.0
4.95,1.0,1.0,1.0
5.0,1.0,1.0,1.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
