# intensity == flood depth in meters
intensity,damage_fraction_max,damage_fraction_min,damage_fraction_mean
0.00,0.000,0.000,0.000
0.05,0.050,0.020,0.035
0.10,0.100,0.040,0.070
0.15,0.150,0.060,0.105
0.20,0.200,0.080,0.140
0.25,0.250,0.100,0.175
0.30,0.300,0.120,0.210
0.35,0.350,0.140,0.245
0.40,0.400,0.160,0.280
0.45,0.450,0.180,0.315
0.50,0.500,0.200,0.350
0.55,0.532,0.220,0.376
0.60,0.544,0.240,0.392
0.65,0.556,0.260,0.408
0.70,0.568,0.280,0.424
0.75,0.580,0.300,0.440
0.80,0.592,0.320,0.456
0.85,0.604,0.340,0.472
0.90,0.616,0.360,0.488
0.95,0.628,0.380,0.504
1.00,0.640,0.400,0.520
1.05,0.652,0.420,0.536
1.10,0.664,0.440,0.552
1.15,0.676,0.460,0.568
1.20,0.688,0.480,0.584
1.25,0.700,0.500,0.600
1.30,0.712,0.520,0.616
1.35,0.724,0.540,0.632
1.40,0.736,0.560,0.648
1.45,0.748,0.580,0.664
1.50,0.760,0.600,0.680
1.55,0.772,0.620,0.696
1.60,0.784,0.640,0.712
1.65,0.796,0.660,0.728
1.70,0.808,0.680,0.744
1.75,0.820,0.700,0.760
1.80,0.832,0.720,0.776
1.85,0.844,0.740,0.792
1.90,0.856,0.760,0.808
1.95,0.868,0.780,0.824
2.00,0.880,0.800,0.840
2.05,0.892,0.805,0.849
2.10,0.897,0.810,0.854
2.15,0.901,0.815,0.858
2.20,0.904,0.820,0.862
2.25,0.908,0.825,0.866
2.30,0.911,0.830,0.871
2.35,0.915,0.835,0.875
2.40,0.918,0.840,0.879
2.45,0.922,0.845,0.883
2.50,0.925,0.850,0.888
2.55,0.929,0.855,0.892
2.60,0.932,0.860,0.896
2.65,0.936,0.865,0.900
2.70,0.939,0.870,0.905
2.75,0.943,0.875,0.909
2.80,0.946,0.880,0.913
2.85,0.950,0.885,0.917
2.90,0.953,0.890,0.922
2.95,0.957,0.895,0.926
3.00,0.960,0.900,0.930
3.05,0.964,0.905,0.934
3.10,0.967,0.910,0.939
3.15,0.971,0.915,0.943
3.20,0.974,0.920,0.947
3.25,0.978,0.925,0.951
3.30,0.981,0.930,0.956
3.35,0.985,0.935,0.960
3.40,0.988,0.940,0.964
3.45,0.992,0.945,0.968
3.50,0.995,0.950,0.973
3.55,0.999,0.955,0.977
3.60,1.000,0.960,0.980
3.65,1.000,0.965,0.983
3.70,1.000,0.970,0.985
3.75,1.000,0.975,0.988
3.80,1.000,0.980,0.990
3.85,1.000,0.985,0.993
3.90,1.000,0.990,0.995
3.95,1.000,0.995,0.998
4.00,1.000,1.000,1.000
4.05,1.000,1.000,1.000
4.10,1.000,1.000,1.000
4.15,1.000,1.000,1.000
4.20,1.000,1.000,1.000
4.25,1.000,1.000,1.000
4.30,1.000,1.000,1.000
4.35,1.000,1.000,1.000
4.40,1.000,1.000,1.000
4.45,1.000,1.000,1.000
4.50,1.000,1.000,1.000
4.55,1.000,1.000,1.000
4.60,1.000,1.000,1.000
4.65,1.000,1.000,1.000
4.70,1.000,1.000,1.000
4.75,1.000,1.000,1.000
4.80,1.000,1.000,1.000
4.85,1.000,1.000,1.000
4.90,1.000,1.000,1.000
4.95,1.000,1.000,1.000
5.00,1.000,1.000,1.000
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
