intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0275,0.02475,0.03025
0.5,0.055,0.0495,0.0605
0.75,0.0825,0.07425,0.09075
1.0,0.11,0.099,0.121
1.25,0.12375,0.111375,0.136125
1.5,0.1375,0.12375,0.15125
1.75,0.15125,0.136125,0.166375
2.0,0.165,0.1485,0.1815
2.25,0.20625,0.185625,0.226875
2.5,0.2475,0.22275,0.27225
2.75,0.28875,0.2598750000000001,0.3176250000000001
3.0,0.33,0.297,0.363
3.5,0.6050000000000001,0.5445000000000001,0.6655000000000002
4.0,0.8800000000000001,0.7920000000000001,0.9680000000000002
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
