intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.045,0.0405,0.0495
0.5,0.09,0.081,0.099
0.75,0.135,0.1215,0.1485
1.0,0.18,0.162,0.198
1.25,0.19,0.171,0.209
1.5,0.2,0.18,0.22
1.75,0.205,0.1845,0.2255
2.0,0.21,0.189,0.231
2.25,0.24,0.216,0.264
2.5,0.27,0.243,0.297
2.75,0.3,0.27,0.33
3.0,0.33,0.297,0.363
3.25,0.33,0.297,0.363
3.5,0.33,0.297,0.363
3.75,0.33,0.297,0.363
4.0,0.33,0.297,0.363
4.25,0.36,0.324,0.396
4.5,0.39,0.351,0.429
4.75,0.42,0.378,0.462
5.0,0.45,0.405,0.495
5.25,0.45,0.405,0.495
5.5,0.45,0.405,0.495
5.75,0.45,0.405,0.495
6.0,0.45,0.405,0.495
6.5,0.45,0.405,0.495
7.0,0.45,0.405,0.495
7.5,0.45,0.405,0.495
8.0,0.45,0.405,0.495
8.5,0.45,0.405,0.495
9.0,0.45,0.405,0.495
9.5,0.45,0.405,0.495
10.0,0.45,0.405,0.495
