intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.05,0.028,0.025546299,0.031223254
0.1,0.057,0.051092597,0.062446508
0.15,0.085,0.076638896,0.093669762
0.2,0.114,0.102185195,0.124893016
0.25,0.142,0.127731494,0.15611627
0.3,0.17,0.153277792,0.187339524
0.35,0.199,0.178824091,0.218562778
0.4,0.227,0.20437039,0.249786032
0.45,0.255,0.229916689,0.281009286
0.5,0.284,0.255462987,0.31223254
0.55,0.3,0.27011954,0.330146104
0.6,0.316,0.284776092,0.348059668
0.65,0.333,0.299432645,0.365973232
0.7,0.349,0.314089197,0.383886796
0.75,0.365,0.32874575,0.401800361
0.8,0.382,0.343402302,0.419713925
0.85,0.398,0.358058854,0.437627489
0.9,0.414,0.372715407,0.455541053
0.95,0.43,0.387371959,0.473454617
1.0,0.447,0.402028512,0.491368181
1.05,0.483,0.434703088,0.531303774
1.1,0.519,0.467377664,0.571239368
1.15,0.556,0.500052241,0.611174961
1.2,0.592,0.532726817,0.651110554
1.25,0.628,0.565401393,0.691046147
1.3,0.665,0.59807597,0.730981741
1.35,0.701,0.630750546,0.770917334
1.4,0.737,0.663425122,0.810852927
1.45,0.773,0.696099699,0.850788521
1.5,0.81,0.728774275,0.890724114
1.55,0.827,0.744116192,0.909475345
1.6,0.844,0.759458108,0.928226577
1.65,0.861,0.774800025,0.946977808
1.7,0.878,0.790141942,0.96572904
1.75,0.895,0.805483858,0.984480271
1.8,0.912,0.820825775,1.0
1.85,0.929,0.836167692,1.0
1.9,0.946,0.851509608,1.0
1.95,0.963,0.866851525,1.0
2.0,0.98,0.882193442,1.0
2.05,0.981,0.88308377,1.0
2.1,0.982,0.883974098,1.0
2.15,0.983,0.884864425,1.0
2.2,0.984,0.885754753,1.0
2.25,0.985,0.886645081,1.0
2.3,0.986,0.887535409,1.0
2.35,0.987,0.888425737,1.0
2.4,0.988,0.889316065,1.0
2.45,0.989,0.890206393,1.0
2.5,0.99,0.891096721,1.0
2.55,0.991,0.891987049,1.0
2.6,0.992,0.892877377,1.0
2.65,0.993,0.893767705,1.0
2.7,0.994,0.894658033,1.0
2.75,0.995,0.89554836,1.0
2.8,0.996,0.896438688,1.0
2.85,0.997,0.897329016,1.0
2.9,0.998,0.898219344,1.0
2.95,0.999,0.899109672,1.0
3.0,1.0,0.9,1.0
3.05,1.0,0.9,1.0
3.1,1.0,0.9,1.0
3.15,1.0,0.9,1.0
3.2,1.0,0.9,1.0
3.25,1.0,0.9,1.0
3.3,1.0,0.9,1.0
3.35,1.0,0.9,1.0
3.4,1.0,0.9,1.0
3.45,1.0,0.9,1.0
3.5,1.0,0.9,1.0
3.55,1.0,0.9,1.0
3.6,1.0,0.9,1.0
3.65,1.0,0.9,1.0
3.7,1.0,0.9,1.0
3.75,1.0,0.9,1.0
3.8,1.0,0.9,1.0
3.85,1.0,0.9,1.0
3.9,1.0,0.9,1.0
3.95,1.0,0.9,1.0
4.0,1.0,0.9,1.0
4.05,1.0,0.9,1.0
4.1,1.0,0.9,1.0
4.15,1.0,0.9,1.0
4.2,1.0,0.9,1.0
4.25,1.0,0.9,1.0
4.3,1.0,0.9,1.0
4.35,1.0,0.9,1.0
4.4,1.0,0.9,1.0
4.45,1.0,0.9,1.0
4.5,1.0,0.9,1.0
4.55,1.0,0.9,1.0
4.6,1.0,0.9,1.0
4.65,1.0,0.9,1.0
4.7,1.0,0.9,1.0
4.75,1.0,0.9,1.0
4.8,1.0,0.9,1.0
4.85,1.0,0.9,1.0
4.9,1.0,0.9,1.0
4.95,1.0,0.9,1.0
5.0,1.0,0.9,1.0
5.05,1.0,0.9,1.0
5.1,1.0,0.9,1.0
5.15,1.0,0.9,1.0
5.2,1.0,0.9,1.0
5.25,1.0,0.9,1.0
5.3,1.0,0.9,1.0
5.35,1.0,0.9,1.0
5.4,1.0,0.9,1.0
5.45,1.0,0.9,1.0
5.5,1.0,0.9,1.0
5.55,1.0,0.9,1.0
5.6,1.0,0.9,1.0
5.65,1.0,0.9,1.0
5.7,1.0,0.9,1.0
5.75,1.0,0.9,1.0
5.8,1.0,0.9,1.0
5.85,1.0,0.9,1.0
5.9,1.0,0.9,1.0
5.95,1.0,0.9,1.0
6.0,1.0,0.9,1.0
