intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.156,0.1404,0.1716
0.5,0.299,0.2691,0.3289000000000001
0.75,0.403,0.3627,0.4433000000000001
1.0,0.52,0.468,0.5720000000000001
1.25,0.637,0.5733,0.7007000000000001
1.5,0.754,0.6786,0.8294
1.75,0.8190000000000001,0.7371000000000001,0.9009
2.0,0.8840000000000001,0.7956000000000001,0.9724000000000004
2.25,0.923,0.8307,1.0
2.5,0.962,0.8658,1.0
2.75,1.0,0.9,1.0
3.0,1.0,0.9,1.0
3.5,1.0,0.9,1.0
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
