intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.0475,0.04275,0.05225
0.5,0.095,0.0855,0.1045
0.75,0.1325,0.11925,0.14575
1.0,0.17,0.153,0.187
1.25,0.175,0.1575,0.1925
1.5,0.18,0.162,0.198
1.75,0.185,0.1665,0.2035
2.0,0.19,0.171,0.209
2.25,0.1925,0.17325,0.21175
2.5,0.195,0.1755,0.2145
2.75,0.1975,0.17775,0.21725
3.0,0.2,0.18,0.22
3.25,0.2025,0.18225,0.22275
3.5,0.205,0.1845,0.2255
3.75,0.2075,0.18675,0.22825
4.0,0.21,0.189,0.231
4.25,0.21,0.189,0.231
4.5,0.21,0.189,0.231
4.75,0.21,0.189,0.231
5.0,0.21,0.189,0.231
5.25,0.21,0.189,0.231
5.5,0.21,0.189,0.231
5.75,0.21,0.189,0.231
6.0,0.21,0.189,0.231
6.5,0.21,0.189,0.231
7.0,0.21,0.189,0.231
7.5,0.21,0.189,0.231
8.0,0.21,0.189,0.231
8.5,0.21,0.189,0.231
9.0,0.21,0.189,0.231
9.5,0.21,0.189,0.231
10.0,0.21,0.189,0.231
,,,
,,,
,,,
,,,
