intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.35,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.1,0.0,0.0,0.0
1.15,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.3,0.0,0.0,0.0
1.35,0.0,0.0,0.0
1.4,0.0,0.0,0.0
1.45,0.0,0.0,0.0
1.5,0.0,0.0,0.0
1.55,0.014,0.0126,0.0154
1.6,0.028,0.0252,0.0308
1.65,0.042,0.0378,0.0462
1.7,0.056,0.0504,0.0616
1.75,0.07,0.063,0.077
1.8,0.084,0.0756,0.0924
1.85,0.098,0.0882,0.1078
1.9,0.112,0.1008,0.1232
1.95,0.126,0.1134,0.1386
2.0,0.14,0.126,0.154
2.05,0.154,0.1386,0.1694
2.1,0.168,0.1512,0.1848
2.15,0.182,0.1638,0.2002
2.2,0.196,0.1764,0.2156
2.25,0.21,0.189,0.231
2.3,0.224,0.2016,0.2464
2.35,0.238,0.2142,0.2618
2.4,0.252,0.2268,0.2772
2.45,0.266,0.2394,0.2926
2.5,0.28,0.252,0.308
2.55,0.289,0.2601,0.3179
2.6,0.298,0.2682,0.3278
2.65,0.307,0.2763,0.3377
2.7,0.316,0.2844,0.3476
2.75,0.325,0.2925,0.3575
2.8,0.334,0.3006,0.3674
2.85,0.343,0.3087,0.3773
2.9,0.352,0.3168,0.3872
2.95,0.361,0.3249,0.3971
3.0,0.37,0.333,0.407
3.05,0.379,0.3411,0.4169
3.1,0.388,0.3492,0.4268
3.15,0.397,0.3573,0.4367
3.2,0.406,0.3654,0.4466
3.25,0.415,0.3735,0.4565
3.3,0.424,0.3816,0.4664
3.35,0.433,0.3897,0.4763
3.4,0.442,0.3978,0.4862
3.45,0.451,0.4059,0.4961
3.5,0.46,0.414,0.506
3.55,0.469,0.4221,0.5159
3.6,0.478,0.4302,0.5258
3.65,0.487,0.4383,0.5357
3.7,0.496,0.4464,0.5456
3.75,0.505,0.4545,0.5555
3.8,0.514,0.4626,0.5654
3.85,0.523,0.4707,0.5753
3.9,0.532,0.4788,0.5852
3.95,0.541,0.4869,0.5951
4.0,0.55,0.495,0.605
4.05,0.559,0.5031,0.6149
4.1,0.568,0.5112,0.6248
4.15,0.577,0.5193,0.6347
4.2,0.586,0.5274,0.6446
4.25,0.595,0.5355,0.6545
4.3,0.604,0.5436,0.6644
4.35,0.613,0.5517,0.6743
4.4,0.622,0.5598,0.6842
4.45,0.631,0.5679,0.6941
4.5,0.64,0.576,0.704
4.55,0.649,0.5841,0.7139
4.6,0.658,0.5922,0.7238
4.65,0.667,0.6003,0.7337
4.7,0.676,0.6084,0.7436
4.75,0.685,0.6165,0.7535
4.8,0.694,0.6246,0.7634
4.85,0.703,0.6327,0.7733
4.9,0.712,0.6408,0.7832
4.95,0.721,0.6489,0.7931
5.0,0.73,0.657,0.803
5.05,0.739,0.6651,0.8129
5.1,0.748,0.6732,0.8228
5.15,0.757,0.6813,0.8327
5.2,0.766,0.6894,0.8426
5.25,0.775,0.6975,0.8525
5.3,0.784,0.7056,0.8624
5.35,0.793,0.7137,0.8723
5.4,0.802,0.7218,0.8822
5.45,0.811,0.7299,0.8921
5.5,0.82,0.738,0.902
5.55,0.829,0.7461,0.9119
5.6,0.838,0.7542,0.9218
5.65,0.847,0.7623,0.9317
5.7,0.856,0.7704,0.9416
5.75,0.865,0.7785,0.9515
5.8,0.874,0.7866,0.9614
5.85,0.883,0.7947,0.9713
5.9,0.892,0.8028,0.9812
5.95,0.901,0.8109,0.9911
6.0,0.91,0.819,1.0
6.05,0.919,0.8271,1.0
6.1,0.928,0.8352,1.0
6.15,0.937,0.8433,1.0
6.2,0.946,0.8514,1.0
6.25,0.955,0.8595,1.0
6.3,0.964,0.8676,1.0
6.35,0.973,0.8757,1.0
6.4,0.982,0.8838,1.0
6.45,0.991,0.8919,1.0
6.5,1.0,0.9,1.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
