asset_type,design_hazard
storage,coastal_historical_2020_rp00050
non_engineered_poor,
rcc_causeway_good,coastal_historical_2020_rp00050
wooden_culvert_fair,coastal_historical_2020_rp00020
rcc_box_vented_causeway_bad,coastal_historical_2020_rp00005
rcc_box_vented_causeway_fair,coastal_historical_2020_rp00020
bridge,coastal_historical_2020_rp00100
sgr_track_proposed,coastal_historical_2020_rp00100
masonry_arch_culvert_bad,coastal_historical_2020_rp00005
rcc_pipe_culvert_fair,coastal_historical_2020_rp00020
gravel_bad,
masonry_arch_culvert_fair,coastal_historical_2020_rp00020
concrete_good,coastal_historical_2020_rp00050
dbst_good,coastal_historical_2020_rp00050
mgr_bridge_disused,
rcc_causeway_fair,coastal_historical_2020_rp00020
gravel_fair,coastal_historical_2020_rp00005
masonry_arch_culvert_very_poor,
warehouse,coastal_historical_2020_rp00050
rcc_drift_poor,
concrete_poor,
stone_pavement_fair,coastal_historical_2020_rp00020
steel_pipe_culvert_poor,
rcc_box_vented_causeway_good,coastal_historical_2020_rp00050
steel_pipe_culvert_fair,coastal_historical_2020_rp00020
rcc_slab_culvert_bad,
gravel_good,coastal_historical_2020_rp00010
rcc_pipe_culvert_poor,
wooden_culvert_very_poor,
non_engineered_bad,
rcc_slab_culvert_fair,coastal_historical_2020_rp00020
airport,coastal_historical_2020_rp00050
wooden_culvert_poor,
rcc_box_vented_causeway_very_poor,
rcc_drift_very_poor,
rcc_pipe_culvert_bad,coastal_historical_2020_rp00005
hdpe_pipe_culvert_good,coastal_historical_2020_rp00050
earthern_good,coastal_historical_2020_rp00010
stone_pavement_good,coastal_historical_2020_rp00020
rcc_bridge,coastal_historical_2020_rp00100
rcc_box_vented_causeway_poor,
rcc_slab_culvert_poor,
dbst_fair,coastal_historical_2020_rp00020
non_engineered_good,coastal_historical_2020_rp00010
other,coastal_historical_2020_rp00050
hdpe_pipe_culvert_fair,coastal_historical_2020_rp00020
non_engineered_fair,coastal_historical_2020_rp00010
mgr_track_open,coastal_historical_2020_rp00020
dbst_poor,
liquid,coastal_historical_2020_rp00100
general cargo,coastal_historical_2020_rp00050
sgr_track_construction,coastal_historical_2020_rp00100
sbst_fair,coastal_historical_2020_rp00020
steeltruss_bridge,coastal_historical_2020_rp00050
asphalt_concrete_good,coastal_historical_2020_rp00050
container,coastal_historical_2020_rp00100
wooden_culvert_good,coastal_historical_2020_rp00020
earthern_fair,coastal_historical_2020_rp00010
pipe_vented_causeway_good,coastal_historical_2020_rp00050
pipe_vented_causeway_poor,
arch_bridge,coastal_historical_2020_rp00050
asphalt_concrete_poor,
steel_pipe_culvert_good,coastal_historical_2020_rp00050
timber_bridge,coastal_historical_2020_rp00020
rcc_causeway_poor,
rcc_pipe_culvert_good,coastal_historical_2020_rp00050
earthern_bad,
sgr_track_open,coastal_historical_2020_rp00100
rcc_pipe_culvert_very_poor,
roro,coastal_historical_2020_rp00050
hdpe_pipe_culvert_poor,
rcc_slab_culvert_very_poor,
gravel_poor,
masonry_arch_culvert_good,coastal_historical_2020_rp00050
stone_pavement_bad,
rcc_causeway_very_poor,
masonry_arch_culvert_poor,
steel_pipe_culvert_very_poor,
rcc_drift_bad,coastal_historical_2020_rp00005
sbst_poor,
steel_pipe_culvert_bad,coastal_historical_2020_rp00005
dbst_bad,coastal_historical_2020_rp00005
dry bulk,coastal_historical_2020_rp00050
asphalt_concrete_bad,coastal_historical_2020_rp00005
concrete_fair,coastal_historical_2020_rp00020
rcc_drift_good,coastal_historical_2020_rp00050
mgr_bridge_open,coastal_historical_2020_rp00100
rcc_slab_culvert_good,coastal_historical_2020_rp00050
earthern_poor,
mgr_track_disused,
sbst_good,coastal_historical_2020_rp00020
sgr_track_planned,coastal_historical_2020_rp00100
steelcomposite_bridge,coastal_historical_2020_rp00050
pipe_vented_causeway_fair,coastal_historical_2020_rp00010
rcc_drift_fair,coastal_historical_2020_rp00020
refinery,coastal_historical_2020_rp00100
pipe_vented_causeway_very_poor,
asphalt_concrete_fair,coastal_historical_2020_rp00020
