asset_type,design_hazard
storage,fluvial_2020_historical_rp00050
non_engineered_poor,
rcc_causeway_good,fluvial_2020_historical_rp00050
wooden_culvert_fair,fluvial_2020_historical_rp00020
rcc_box_vented_causeway_bad,fluvial_2020_historical_rp00005
rcc_box_vented_causeway_fair,fluvial_2020_historical_rp00020
bridge,fluvial_2020_historical_rp00100
sgr_track_proposed,fluvial_2020_historical_rp00100
masonry_arch_culvert_bad,fluvial_2020_historical_rp00005
rcc_pipe_culvert_fair,fluvial_2020_historical_rp00020
gravel_bad,
masonry_arch_culvert_fair,fluvial_2020_historical_rp00020
concrete_good,fluvial_2020_historical_rp00050
dbst_good,fluvial_2020_historical_rp00050
mgr_bridge_disused,
rcc_causeway_fair,fluvial_2020_historical_rp00020
gravel_fair,fluvial_2020_historical_rp00005
masonry_arch_culvert_very_poor,
warehouse,fluvial_2020_historical_rp00050
rcc_drift_poor,
concrete_poor,
stone_pavement_fair,fluvial_2020_historical_rp00020
steel_pipe_culvert_poor,
rcc_box_vented_causeway_good,fluvial_2020_historical_rp00050
steel_pipe_culvert_fair,fluvial_2020_historical_rp00020
rcc_slab_culvert_bad,
gravel_good,fluvial_2020_historical_rp00010
rcc_pipe_culvert_poor,
wooden_culvert_very_poor,
non_engineered_bad,
rcc_slab_culvert_fair,fluvial_2020_historical_rp00020
airport,fluvial_2020_historical_rp00050
wooden_culvert_poor,
rcc_box_vented_causeway_very_poor,
rcc_drift_very_poor,
rcc_pipe_culvert_bad,fluvial_2020_historical_rp00005
hdpe_pipe_culvert_good,fluvial_2020_historical_rp00050
earthern_good,fluvial_2020_historical_rp00010
stone_pavement_good,fluvial_2020_historical_rp00020
rcc_bridge,fluvial_2020_historical_rp00100
rcc_box_vented_causeway_poor,
rcc_slab_culvert_poor,
dbst_fair,fluvial_2020_historical_rp00020
non_engineered_good,fluvial_2020_historical_rp00010
other,fluvial_2020_historical_rp00050
hdpe_pipe_culvert_fair,fluvial_2020_historical_rp00020
non_engineered_fair,fluvial_2020_historical_rp00010
mgr_track_open,fluvial_2020_historical_rp00020
dbst_poor,
liquid,fluvial_2020_historical_rp00100
general cargo,fluvial_2020_historical_rp00050
sgr_track_construction,fluvial_2020_historical_rp00100
sbst_fair,fluvial_2020_historical_rp00020
steeltruss_bridge,fluvial_2020_historical_rp00050
asphalt_concrete_good,fluvial_2020_historical_rp00050
container,fluvial_2020_historical_rp00100
wooden_culvert_good,fluvial_2020_historical_rp00020
earthern_fair,fluvial_2020_historical_rp00010
pipe_vented_causeway_good,fluvial_2020_historical_rp00050
pipe_vented_causeway_poor,
arch_bridge,fluvial_2020_historical_rp00050
asphalt_concrete_poor,
steel_pipe_culvert_good,fluvial_2020_historical_rp00050
timber_bridge,fluvial_2020_historical_rp00020
rcc_causeway_poor,
rcc_pipe_culvert_good,fluvial_2020_historical_rp00050
earthern_bad,
sgr_track_open,fluvial_2020_historical_rp00100
rcc_pipe_culvert_very_poor,
roro,fluvial_2020_historical_rp00050
hdpe_pipe_culvert_poor,
rcc_slab_culvert_very_poor,
gravel_poor,
masonry_arch_culvert_good,fluvial_2020_historical_rp00050
stone_pavement_bad,
rcc_causeway_very_poor,
masonry_arch_culvert_poor,
steel_pipe_culvert_very_poor,
rcc_drift_bad,fluvial_2020_historical_rp00005
sbst_poor,
steel_pipe_culvert_bad,fluvial_2020_historical_rp00005
dbst_bad,fluvial_2020_historical_rp00005
dry bulk,fluvial_2020_historical_rp00050
asphalt_concrete_bad,fluvial_2020_historical_rp00005
concrete_fair,fluvial_2020_historical_rp00020
rcc_drift_good,fluvial_2020_historical_rp00050
mgr_bridge_open,fluvial_2020_historical_rp00100
rcc_slab_culvert_good,fluvial_2020_historical_rp00050
earthern_poor,
mgr_track_disused,
sbst_good,fluvial_2020_historical_rp00020
sgr_track_planned,fluvial_2020_historical_rp00100
steelcomposite_bridge,fluvial_2020_historical_rp00050
pipe_vented_causeway_fair,fluvial_2020_historical_rp00010
rcc_drift_fair,fluvial_2020_historical_rp00020
refinery,fluvial_2020_historical_rp00100
pipe_vented_causeway_very_poor,
asphalt_concrete_fair,fluvial_2020_historical_rp00020
