asset_type,design_hazard
storage,pluvial_historical_2020_rp00050
non_engineered_poor,
rcc_causeway_good,pluvial_historical_2020_rp00050
wooden_culvert_fair,pluvial_historical_2020_rp00020
rcc_box_vented_causeway_bad,pluvial_historical_2020_rp00005
rcc_box_vented_causeway_fair,pluvial_historical_2020_rp00020
bridge,pluvial_historical_2020_rp00100
sgr_track_proposed,pluvial_historical_2020_rp00100
masonry_arch_culvert_bad,pluvial_historical_2020_rp00005
rcc_pipe_culvert_fair,pluvial_historical_2020_rp00020
gravel_bad,
masonry_arch_culvert_fair,pluvial_historical_2020_rp00020
concrete_good,pluvial_historical_2020_rp00050
dbst_good,pluvial_historical_2020_rp00050
mgr_bridge_disused,
rcc_causeway_fair,pluvial_historical_2020_rp00020
gravel_fair,pluvial_historical_2020_rp00005
masonry_arch_culvert_very_poor,
warehouse,pluvial_historical_2020_rp00050
rcc_drift_poor,
concrete_poor,
stone_pavement_fair,pluvial_historical_2020_rp00020
steel_pipe_culvert_poor,
rcc_box_vented_causeway_good,pluvial_historical_2020_rp00050
steel_pipe_culvert_fair,pluvial_historical_2020_rp00020
rcc_slab_culvert_bad,
gravel_good,pluvial_historical_2020_rp00010
rcc_pipe_culvert_poor,
wooden_culvert_very_poor,
non_engineered_bad,
rcc_slab_culvert_fair,pluvial_historical_2020_rp00020
airport,pluvial_historical_2020_rp00050
wooden_culvert_poor,
rcc_box_vented_causeway_very_poor,
rcc_drift_very_poor,
rcc_pipe_culvert_bad,pluvial_historical_2020_rp00005
hdpe_pipe_culvert_good,pluvial_historical_2020_rp00050
earthern_good,pluvial_historical_2020_rp00010
stone_pavement_good,pluvial_historical_2020_rp00020
rcc_bridge,pluvial_historical_2020_rp00100
rcc_box_vented_causeway_poor,
rcc_slab_culvert_poor,
dbst_fair,pluvial_historical_2020_rp00020
non_engineered_good,pluvial_historical_2020_rp00010
other,pluvial_historical_2020_rp00050
hdpe_pipe_culvert_fair,pluvial_historical_2020_rp00020
non_engineered_fair,pluvial_historical_2020_rp00010
mgr_track_open,pluvial_historical_2020_rp00020
dbst_poor,
liquid,pluvial_historical_2020_rp00100
general cargo,pluvial_historical_2020_rp00050
sgr_track_construction,pluvial_historical_2020_rp00100
sbst_fair,pluvial_historical_2020_rp00020
steeltruss_bridge,pluvial_historical_2020_rp00050
asphalt_concrete_good,pluvial_historical_2020_rp00050
container,pluvial_historical_2020_rp00100
wooden_culvert_good,pluvial_historical_2020_rp00020
earthern_fair,pluvial_historical_2020_rp00010
pipe_vented_causeway_good,pluvial_historical_2020_rp00050
pipe_vented_causeway_poor,
arch_bridge,pluvial_historical_2020_rp00050
asphalt_concrete_poor,
steel_pipe_culvert_good,pluvial_historical_2020_rp00050
timber_bridge,pluvial_historical_2020_rp00020
rcc_causeway_poor,
rcc_pipe_culvert_good,pluvial_historical_2020_rp00050
earthern_bad,
sgr_track_open,pluvial_historical_2020_rp00100
rcc_pipe_culvert_very_poor,
roro,pluvial_historical_2020_rp00050
hdpe_pipe_culvert_poor,
rcc_slab_culvert_very_poor,
gravel_poor,
masonry_arch_culvert_good,pluvial_historical_2020_rp00050
stone_pavement_bad,
rcc_causeway_very_poor,
masonry_arch_culvert_poor,
steel_pipe_culvert_very_poor,
rcc_drift_bad,pluvial_historical_2020_rp00005
sbst_poor,
steel_pipe_culvert_bad,pluvial_historical_2020_rp00005
dbst_bad,pluvial_historical_2020_rp00005
dry bulk,pluvial_historical_2020_rp00050
asphalt_concrete_bad,pluvial_historical_2020_rp00005
concrete_fair,pluvial_historical_2020_rp00020
rcc_drift_good,pluvial_historical_2020_rp00050
mgr_bridge_open,pluvial_historical_2020_rp00100
rcc_slab_culvert_good,pluvial_historical_2020_rp00050
earthern_poor,
mgr_track_disused,
sbst_good,pluvial_historical_2020_rp00020
sgr_track_planned,pluvial_historical_2020_rp00100
steelcomposite_bridge,pluvial_historical_2020_rp00050
pipe_vented_causeway_fair,pluvial_historical_2020_rp00010
rcc_drift_fair,pluvial_historical_2020_rp00020
refinery,pluvial_historical_2020_rp00100
pipe_vented_causeway_very_poor,
asphalt_concrete_fair,pluvial_historical_2020_rp00020
