asset_type,mean_cost_usd,min_cost_usd,max_cost_usd,unit_type
asphalt_concrete_bad,0.0,0.0,0.0,m
asphalt_concrete_fair,0.0,0.0,0.0,m
asphalt_concrete_good,0.0,0.0,0.0,m
asphalt_concrete_poor,0.0,0.0,0.0,m
bridge,0.0,0.0,0.0,m
concrete_fair,0.0,0.0,0.0,m
concrete_good,0.0,0.0,0.0,m
concrete_poor,0.0,0.0,0.0,m
dbst_bad,0.0,0.0,0.0,m
dbst_fair,0.0,0.0,0.0,m
dbst_good,0.0,0.0,0.0,m
dbst_poor,0.0,0.0,0.0,m
earthern_bad,0.0,0.0,0.0,m
earthern_fair,0.0,0.0,0.0,m
earthern_good,0.0,0.0,0.0,m
earthern_poor,0.0,0.0,0.0,m
gravel_bad,0.0,0.0,0.0,m
gravel_fair,0.0,0.0,0.0,m
gravel_good,0.0,0.0,0.0,m
gravel_poor,0.0,0.0,0.0,m
non_engineered_bad,0.0,0.0,0.0,m
non_engineered_fair,0.0,0.0,0.0,m
non_engineered_good,0.0,0.0,0.0,m
non_engineered_poor,0.0,0.0,0.0,m
sbst_fair,0.0,0.0,0.0,m
sbst_good,0.0,0.0,0.0,m
sbst_poor,0.0,0.0,0.0,m
stone_pavement_bad,0.0,0.0,0.0,m
stone_pavement_fair,0.0,0.0,0.0,m
stone_pavement_good,0.0,0.0,0.0,m
airport,0.0,0.0,0.0,sqm
,0.0,0.0,0.0,sqm
general cargo,0.0,0.0,0.0,sqm
roro,0.0,0.0,0.0,sqm
liquid,0.0,0.0,0.0,sqm
container,0.0,0.0,0.0,sqm
dry bulk,0.0,0.0,0.0,sqm
other,0.0,0.0,0.0,sqm
refinery,0.0,0.0,0.0,sqm
storage,0.0,0.0,0.0,sqm
warehouse,0.0,0.0,0.0,sqm
mgr_bridge_disused,0.0,0.0,0.0,m
mgr_bridge_open,0.0,0.0,0.0,m
mgr_track_disused,0.0,0.0,0.0,m
mgr_track_open,0.0,0.0,0.0,m
sgr_track_construction,0.0,0.0,0.0,m
sgr_track_open,0.0,0.0,0.0,m
sgr_track_planned,0.0,0.0,0.0,m
sgr_track_proposed,0.0,0.0,0.0,m
arch_bridge,0.0,0.0,0.0,unit
hdpe_pipe_culvert_fair,0.0,0.0,0.0,unit
hdpe_pipe_culvert_good,0.0,0.0,0.0,unit
hdpe_pipe_culvert_poor,0.0,0.0,0.0,unit
masonry_arch_culvert_bad,0.0,0.0,0.0,unit
masonry_arch_culvert_fair,0.0,0.0,0.0,unit
masonry_arch_culvert_good,0.0,0.0,0.0,unit
masonry_arch_culvert_poor,0.0,0.0,0.0,unit
masonry_arch_culvert_very_poor,0.0,0.0,0.0,unit
pipe_vented_causeway_fair,0.0,0.0,0.0,unit
pipe_vented_causeway_good,0.0,0.0,0.0,unit
pipe_vented_causeway_poor,0.0,0.0,0.0,unit
pipe_vented_causeway_very_poor,0.0,0.0,0.0,unit
rcc_box_vented_causeway_bad,0.0,0.0,0.0,unit
rcc_box_vented_causeway_fair,0.0,0.0,0.0,unit
rcc_box_vented_causeway_good,0.0,0.0,0.0,unit
rcc_box_vented_causeway_poor,0.0,0.0,0.0,unit
rcc_box_vented_causeway_very_poor,0.0,0.0,0.0,unit
rcc_bridge,0.0,0.0,0.0,unit
rcc_causeway_fair,0.0,0.0,0.0,unit
rcc_causeway_good,0.0,0.0,0.0,unit
rcc_causeway_poor,0.0,0.0,0.0,unit
rcc_causeway_very_poor,0.0,0.0,0.0,unit
rcc_drift_bad,0.0,0.0,0.0,unit
rcc_drift_fair,0.0,0.0,0.0,unit
rcc_drift_good,0.0,0.0,0.0,unit
rcc_drift_poor,0.0,0.0,0.0,unit
rcc_drift_very_poor,0.0,0.0,0.0,unit
rcc_pipe_culvert_bad,0.0,0.0,0.0,unit
rcc_pipe_culvert_fair,0.0,0.0,0.0,unit
rcc_pipe_culvert_good,0.0,0.0,0.0,unit
rcc_pipe_culvert_poor,0.0,0.0,0.0,unit
rcc_pipe_culvert_very_poor,0.0,0.0,0.0,unit
rcc_slab_culvert_bad,0.0,0.0,0.0,unit
rcc_slab_culvert_fair,0.0,0.0,0.0,unit
rcc_slab_culvert_good,0.0,0.0,0.0,unit
rcc_slab_culvert_poor,0.0,0.0,0.0,unit
rcc_slab_culvert_very_poor,0.0,0.0,0.0,unit
steel_pipe_culvert_bad,0.0,0.0,0.0,unit
steel_pipe_culvert_fair,0.0,0.0,0.0,unit
steel_pipe_culvert_good,0.0,0.0,0.0,unit
steel_pipe_culvert_poor,0.0,0.0,0.0,unit
steel_pipe_culvert_very_poor,0.0,0.0,0.0,unit
steelcomposite_bridge,0.0,0.0,0.0,unit
steeltruss_bridge,0.0,0.0,0.0,unit
timber_bridge,0.0,0.0,0.0,unit
wooden_culvert_fair,0.0,0.0,0.0,unit
wooden_culvert_good,0.0,0.0,0.0,unit
wooden_culvert_poor,0.0,0.0,0.0,unit
wooden_culvert_very_poor,0.0,0.0,0.0,unit
