asset_type,mean_cost_usd,min_cost_usd,max_cost_usd,unit_type
asphalt_concrete_bad,70,60.0,80.0,m
asphalt_concrete_fair,70,60.0,80.0,m
asphalt_concrete_good,70,60.0,80.0,m
asphalt_concrete_poor,70,60.0,80.0,m
bridge,70,60.0,80.0,m
concrete_fair,0,0.0,0.0,m
concrete_good,0,0.0,0.0,m
concrete_poor,0,0.0,0.0,m
dbst_bad,70,60.0,80.0,m
dbst_fair,70,60.0,80.0,m
dbst_good,70,60.0,80.0,m
dbst_poor,70,60.0,80.0,m
earthern_bad,0,0.0,0.0,m
earthern_fair,0,0.0,0.0,m
earthern_good,0,0.0,0.0,m
earthern_poor,0,0.0,0.0,m
gravel_bad,0,0.0,0.0,m
gravel_fair,0,0.0,0.0,m
gravel_good,0,0.0,0.0,m
gravel_poor,0,0.0,0.0,m
non_engineered_bad,0,0.0,0.0,m
non_engineered_fair,0,0.0,0.0,m
non_engineered_good,0,0.0,0.0,m
non_engineered_poor,0,0.0,0.0,m
sbst_fair,35,30.0,40.0,m
sbst_good,35,30.0,40.0,m
sbst_poor,35,30.0,40.0,m
stone_pavement_bad,0,0.0,0.0,m
stone_pavement_fair,0,0.0,0.0,m
stone_pavement_good,0,0.0,0.0,m
mgr_bridge_disused,0,0.0,0.0,m
mgr_bridge_open,520,468.0,572.0,m
mgr_track_disused,0,0.0,0.0,m
mgr_track_open,520,468.0,572.0,m
sgr_track_construction,746,671.4,820.6,m
sgr_track_open,746,671.4,820.6,m
sgr_track_planned,746,671.4,820.6,m
sgr_track_proposed,746,671.4,820.6,m
